,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind
372,Sept-Iles,75,CA,1553122994,69,50.2,-66.38,33.8,14.99
373,Yulara,0,AU,1553119200,31,-25.24,130.99,75.2,5.82
374,Seymchan,0,RU,1553123144,72,62.93,152.39,-6.99,3.62
375,Mocuba,32,MZ,1553122933,96,-16.84,36.99,72.12,2.28
376,Klaksvik,32,FO,1553122200,80,62.23,-6.59,41.0,18.34
377,Santa Isabel do Rio Negro,32,BR,1553123144,91,-0.41,-65.02,79.32,2.73
378,Eyl,20,SO,1553123145,100,7.98,49.82,72.75,8.43
379,Samarkand,20,UZ,1553123145,92,39.65,66.98,37.65,2.73
380,Mehamn,0,NO,1553122200,80,71.03,27.85,33.8,13.87
381,Ortona,0,IT,1553123101,75,42.35,14.4,48.0,5.82
382,Pevek,64,RU,1553123146,90,69.7,170.27,-6.81,4.29
383,Quelimane,75,MZ,1553119200,94,-17.88,36.89,77.0,5.82
384,Kargasok,0,RU,1553123146,79,59.06,80.87,23.52,6.87
385,Sao Filipe,8,CV,1553123146,97,14.9,-24.5,70.77,14.03
386,Manacapuru,75,BR,1553119200,83,-3.3,-60.62,80.6,4.7
387,Zhuji,40,CN,1553122964,88,29.72,120.23,64.0,11.18
388,Flagstaff,20,US,1553123009,35,35.2,-111.65,69.01,14.99
389,Abonnema,75,NG,1553119200,88,4.71,6.79,80.6,3.62
390,Grand Gaube,40,MU,1553123041,83,-20.01,57.66,80.6,8.05
391,Chapais,90,CA,1553119200,94,49.78,-74.86,32.0,4.7
392,Bacalar,40,MX,1553122260,69,18.68,-88.39,82.4,11.41
393,General Roca,0,AR,1553119200,21,-39.03,-67.58,69.8,9.17
394,Arman,24,RU,1553122978,58,59.7,150.17,7.32,4.41
395,Katsuura,75,JP,1553122270,82,33.93,134.5,62.01,24.16
396,Salisbury,90,US,1553122908,70,38.37,-75.6,50.0,5.82
397,Port Macquarie,0,AU,1553122805,83,-31.43,152.91,81.0,5.82
398,Edendale,36,NZ,1553122808,97,-46.31,168.79,60.01,2.62
399,Mitu,68,CO,1553122890,97,1.2,-70.17,74.1,1.61
400,Revelstoke,1,CA,1553119200,70,50.99,-118.19,42.8,4.7
401,Darovskoy,80,RU,1553123150,96,58.77,47.96,32.16,7.54
402,Port Blair,12,IN,1553123150,97,11.67,92.75,84.99,8.21
403,Havre-Saint-Pierre,40,CA,1553119200,79,50.23,-63.6,28.4,18.34
404,Iqaluit,20,CA,1553119200,62,63.75,-68.52,-16.61,8.05
405,Mechetinskaya,0,RU,1553123150,84,46.77,40.45,30.0,4.29
406,Caravelas,0,BR,1553123151,100,-17.73,-39.27,83.82,9.22
407,Zhangzhou,0,CN,1553119200,100,24.51,117.65,64.4,2.24
408,Rota,0,ES,1553122819,66,36.62,-6.36,55.4,5.82
409,Kantunilkin,40,MX,1553122990,65,21.1,-87.49,77.0,8.05
410,Zverinogolovskoye,36,RU,1553123151,57,54.46,64.85,5.97,4.18
411,Sabha,0,LY,1553123152,35,27.03,14.43,57.81,5.75
412,Shahrud,56,IR,1553123152,92,36.42,54.97,29.19,2.73
413,Trinidad,90,BO,1553122800,100,-14.83,-64.9,73.4,9.17
414,Xining,64,CN,1553123152,78,36.62,101.77,16.23,3.62
415,Cabedelo,0,BR,1553122800,88,-6.97,-34.84,78.8,3.36
416,Mingguang,48,CN,1553123153,77,32.78,118.01,56.46,18.72
417,Port Keats,0,AU,1553123153,80,-14.25,129.55,90.03,9.78
418,Viransehir,0,TR,1553123153,78,37.24,39.76,41.43,2.73
419,Jaca,0,ES,1553121000,60,42.57,-0.55,41.0,6.93
420,Bull Savanna,76,JM,1553123154,60,17.89,-77.59,75.81,1.72
421,Portage,90,US,1553123141,87,41.58,-87.18,46.4,5.82
422,Oistins,0,BB,1553119200,65,13.07,-59.53,78.8,11.41
423,Vakhtan,80,RU,1553123155,94,57.97,46.69,32.07,6.42
424,Santa Cruz,20,CR,1553119200,49,10.26,-85.58,89.6,26.4
425,Northam,0,AU,1553119200,60,-31.65,116.67,73.4,3.36
426,Mount Darwin,48,ZW,1553123155,93,-16.77,31.58,66.36,2.95
427,Alofi,75,NU,1553119200,70,-19.06,-169.92,86.0,8.05
428,Dumas,1,US,1553122955,17,35.87,-101.97,64.4,8.05
429,Flinders,40,AU,1553123137,94,-34.58,150.85,73.0,6.93
430,Tallahassee,1,US,1553123153,25,30.44,-84.28,66.99,5.82
431,Molteno,0,ZA,1553123157,92,-31.4,26.36,48.18,3.74
432,Camacha,40,PT,1553121000,67,33.08,-16.33,64.4,6.93
433,Belogorsk,12,RU,1553123158,59,50.92,128.47,14.97,10.56
434,Comodoro Rivadavia,0,AR,1553122800,71,-45.87,-67.48,57.2,9.17
435,Bubaque,0,GW,1553122990,100,11.28,-15.83,76.08,10.22
436,Kamenka,92,RU,1553122128,76,53.19,44.05,37.99,4.97
437,Noumea,0,NC,1553122800,58,-22.28,166.46,84.2,2.24
438,Deogarh,36,IN,1553123159,94,21.53,84.72,65.91,3.4
439,Ifakara,0,TZ,1553123159,67,-8.13,36.68,77.97,5.97
440,Mazyr,12,BY,1553123159,65,52.05,29.27,31.44,10.78
441,Changping,0,CN,1553121000,27,40.22,116.23,39.2,15.66
442,Fasa,0,IR,1553119200,81,28.94,53.65,46.4,4.7
443,Ilulissat,75,GL,1553118600,35,69.22,-51.1,-9.41,10.29
444,Vila Franca do Campo,75,PT,1553123129,82,37.72,-25.43,57.2,8.05
445,Anloga,40,GH,1553119200,84,5.79,0.9,86.0,6.93
446,La Ronge,20,CA,1553119200,25,55.1,-105.3,60.8,9.17
447,Palana,12,RU,1553123058,68,59.08,159.95,31.08,12.12
448,Eirunepe,56,BR,1553123161,89,-6.66,-69.87,79.32,1.39
449,Jiazi,0,CN,1553119200,88,19.61,110.49,73.4,8.95
450,Padang,75,ID,1553119200,88,-0.92,100.36,77.0,5.82
451,Dublin,90,US,1553122876,34,40.1,-83.11,55.4,4.7
452,Lukulu,64,ZM,1553123162,70,-14.38,23.24,69.78,0.94
453,Kirakira,68,SB,1553123162,100,-10.46,161.92,80.76,8.99
454,Moose Factory,1,CA,1553119200,87,51.26,-80.61,32.0,5.82
455,Hobyo,0,SO,1553123163,89,5.35,48.53,76.89,10.0
456,Grand-Santi,88,GF,1553123163,93,4.27,-54.38,75.45,2.95
457,Krasnoarmeyskiy,0,RU,1553122816,86,46.12,40.39,41.0,7.09
458,Colares,0,PT,1553123137,54,38.8,-9.45,59.0,5.82
459,The Pas,1,CA,1553119200,37,53.82,-101.24,55.4,17.22
460,Anadyr,0,RU,1553119200,75,64.73,177.51,-16.61,11.18
461,Puerto Ayacucho,0,VE,1553119200,39,5.66,-67.62,96.8,2.95
462,Oranjemund,0,NA,1553123165,96,-28.55,16.43,63.84,26.78
463,Gilbues,24,BR,1553123165,84,-9.83,-45.34,76.53,3.18
464,Altamont,1,US,1553123027,46,37.19,-95.3,60.8,16.11
465,Meadville,90,US,1553123017,39,41.64,-80.15,51.8,5.82
466,Lufilufi,48,WS,1553122991,59,-13.87,-171.6,89.01,8.01
467,Severo-Kurilsk,32,RU,1553123166,100,50.68,156.12,24.24,18.28
468,Saint-Pierre,20,PM,1553122800,58,46.77,-56.17,28.4,20.8
469,Huilong,92,CN,1553123167,99,31.15,106.5,48.99,18.84
470,Haverhill,1,US,1553123144,52,42.78,-71.08,48.2,10.29
471,Pingliang,0,CN,1553123168,65,35.54,106.68,26.04,4.07
472,Saldanha,0,ZA,1553119200,71,-33.01,17.94,57.2,5.82
473,Kerchevskiy,92,RU,1553123168,97,59.95,56.29,32.34,5.19
474,Kauhajoki,0,FI,1553122990,80,62.43,22.18,35.6,9.17
475,Uniontown,75,US,1553123004,22,39.9,-79.72,53.6,5.82
476,Opunake,0,NZ,1553122645,66,-39.45,173.86,79.0,5.01
477,Marsa Matruh,20,EG,1553119200,82,31.35,27.25,57.2,5.82
478,Tiquisate,75,GT,1553119200,49,14.29,-91.37,89.6,11.41
479,Sabang,0,ID,1553123170,100,1.17,120.82,81.66,6.2
480,Beyla,12,GN,1553123170,82,8.69,-8.65,71.4,2.73
481,Ust-Tsilma,76,RU,1553123170,89,65.44,52.15,28.02,5.08
482,Roald,92,NO,1553122866,81,62.58,6.12,44.01,9.17
483,Sur,0,OM,1553123107,97,22.57,59.53,71.04,3.96
484,Praia da Vitoria,75,PT,1553122865,82,38.73,-27.07,57.2,10.45
485,Beckley,1,US,1553122320,27,37.78,-81.19,59.0,10.29
486,Elko,20,US,1553122869,26,40.83,-115.76,60.8,17.22
487,Butler,90,US,1553123700,75,41.43,-84.87,43.0,9.17
488,Vao,68,NC,1553123172,98,-22.67,167.48,79.86,15.82
489,Dudinka,88,RU,1553123172,89,69.41,86.18,22.35,27.89
490,Mizan Teferi,80,ET,1553123172,61,6.99,35.58,67.35,1.61
491,Marovoay,40,MG,1553119200,83,-16.11,46.64,80.6,6.93
492,Baikunthpur,0,IN,1553123173,94,23.26,82.56,58.89,3.74
493,Kenai,20,US,1553123031,84,60.55,-151.26,51.8,13.87
494,Ormara,48,PK,1553123174,96,25.21,64.64,67.71,4.97
495,Khromtau,48,KZ,1553123174,66,50.26,58.44,11.91,2.84
496,Haines Junction,48,CA,1553122882,50,60.75,-137.51,44.85,7.76
497,Mackay,88,AU,1553123123,88,-21.15,149.2,87.01,5.82
498,Wajid,0,SO,1553123175,37,3.81,43.25,75.09,10.89
499,Ures,36,MX,1553122876,29,30.73,-112.95,77.0,5.01
500,Gap,0,FR,1553123103,65,44.56,6.08,37.0,0.94
501,Mana,92,GF,1553123176,79,5.67,-53.78,78.42,4.07
502,Brewster,1,US,1553122898,64,41.76,-70.08,42.8,9.17
503,Ukiah,90,US,1553122920,71,39.15,-123.21,57.99,10.29
504,Ampanihy,88,MG,1553123176,86,-24.69,44.75,72.12,4.29
505,We,92,NC,1553123176,93,-20.92,167.26,79.59,9.1
506,Miami,75,US,1553123110,64,25.77,-80.19,75.2,12.75
507,Kasongo,48,CD,1553123177,96,-4.43,26.67,70.41,2.39
508,Chandbali,36,IN,1553123177,100,20.77,86.74,73.92,14.25
509,Manggar,0,ID,1553123178,97,-2.88,108.27,79.05,4.63
510,Lafia,20,NG,1553123178,62,8.5,8.51,83.01,14.03
511,Byron Bay,75,AU,1553122921,99,-28.65,153.62,82.0,6.93
512,Aklavik,75,CA,1553119200,53,68.22,-135.01,21.2,11.41
513,Namibe,0,AO,1553122933,100,-15.19,12.15,76.8,2.73
514,San Lorenzo,90,AR,1553122800,93,-24.73,-65.49,57.2,5.82
515,Dawei,0,MM,1553123179,87,14.07,98.19,71.94,1.72
516,Mamakan,64,RU,1553123179,77,57.82,114.02,14.16,2.73
517,Deputatskiy,0,RU,1553123179,53,69.3,139.9,-19.68,2.73
518,Catuday,0,PH,1553122887,89,16.29,119.81,79.05,12.24
519,Nome,20,US,1553123083,30,30.04,-94.42,75.99,4.7
520,Iquique,0,CL,1553122800,60,-20.22,-70.14,71.6,9.17
521,Tarakan,75,ID,1553119200,94,3.3,117.63,75.2,1.12
522,Benjamin Hill,20,MX,1553122876,14,30.17,-111.1,82.99,10.0
523,Lipetsk,0,RU,1553123006,84,52.6,39.59,25.14,4.74
524,Luebo,56,CD,1553123181,97,-5.35,21.42,71.49,2.17
525,Inongo,32,CD,1553123181,95,-1.93,18.29,73.65,2.84
526,Cairns,75,AU,1553122517,83,-16.92,145.77,77.0,9.17
527,Santa Lucia,20,ES,1553123133,72,27.91,-15.54,64.4,19.46
528,Linxia,32,CN,1553123181,77,35.6,103.21,14.52,2.51
529,Yamethin,0,MM,1553123182,72,20.43,96.14,66.0,5.19
530,Vilhena,20,BR,1553119200,78,-12.74,-60.15,78.8,6.93
531,Jasper,0,CA,1553123182,59,52.88,-118.08,48.27,1.72
532,Makakilo City,20,US,1553122716,44,21.35,-158.09,80.6,9.17
533,Khvastovichi,36,RU,1553123182,80,53.47,35.09,22.89,5.3
534,Yelnya,92,RU,1553123183,86,54.58,33.19,31.35,11.45
535,Keti Bandar,0,PK,1553123183,98,24.14,67.45,73.47,10.78
536,Longyearbyen,75,SJ,1553122200,68,78.22,15.64,28.4,3.36
537,Acari,0,PE,1553123183,71,-15.44,-74.62,65.64,1.83
538,Honningsvag,0,NO,1553122200,80,70.98,25.97,33.8,13.87
539,Qaqortoq,80,GL,1553118600,85,60.72,-46.03,17.6,9.17
540,Regina,5,CA,1553122971,71,50.45,-104.62,55.4,5.82
541,Saint-Francois,20,GP,1553122800,83,16.25,-61.27,75.2,6.93
542,Celestun,36,MX,1553123184,100,20.87,-90.4,75.72,21.3
543,Ulladulla,40,AU,1553122938,94,-35.36,150.48,73.0,6.93
544,Yenagoa,0,NG,1553123120,92,4.92,6.26,77.07,4.63
545,Kutum,0,SD,1553123185,29,14.2,24.66,58.89,8.43
546,Huambo,80,AO,1553123185,96,-12.78,15.73,58.89,2.62
547,Paamiut,76,GL,1553123185,100,61.99,-49.67,24.69,8.43
548,Luanda,40,AO,1553119200,83,-8.83,13.24,82.4,9.17
549,Kemin,0,KG,1553123186,94,42.79,75.7,24.15,2.84
550,Zabaykalsk,0,RU,1553123186,48,49.63,117.32,16.14,6.2
551,Penzance,90,GB,1553123112,93,50.12,-5.53,53.01,8.21
552,Severnoye,92,RU,1553123186,78,54.09,52.54,23.52,3.96
553,Ballina,75,AU,1553122921,99,-28.87,153.57,79.0,6.93
